Ticker,Data_Ingresso,Prezzo_Ingresso,SL_Prezzo,SL_Attuale,TP1_Prezzo,TP2_Prezzo,TP3_Prezzo,TP4_Prezzo,Quantita_Residua_%,PnL_Realizzato_%,PnL_Latente_%,Max_Drawdown_%,Score_Alert,Stato,Data_Uscita,Prezzo_Uscita,Motivo_Uscita,Note,Origine_Segnale
NOW,2026-09-14 17:14:10.243006,142.28,111.8,111.8,188.0,189.2324,213.42,284.56,100.0,0.0,0.05,-0.04,4,Aperto,,,,REVERSAL_YELLOW · classico · 2026-09-14 · SL=111.80,classico
WDAY,2026-09-14 17:14:05.691377,194.89,163.05,163.05,242.65,259.2037,292.335,389.78,100.0,0.0,-0.35,-0.35,5,Aperto,,,,REVERSAL_GREEN · classico · 2026-09-14 · SL=163.05,classico
GDDY,2026-09-14 17:13:29.739194,104.3,87.675,87.675,129.2375,138.719,156.45,208.6,100.0,0.0,0.16,-0.12,6,Aperto,,,,REVERSAL_GREEN · classico · 2026-09-14 · SL=87.68,classico
CSGP,2026-09-14 17:13:25.253849,31.615,28.79,28.79,35.8525,42.0479,47.4225,63.23,100.0,0.0,-0.3,-0.3,5,Aperto,,,,REVERSAL_GREEN · classico · 2026-09-14 · SL=28.79,classico
ISRG,2026-09-14 17:13:11.887364,375.485,345.25,345.25,420.8375,499.395,563.2275,750.97,100.0,0.0,0.65,-0.0,4,Aperto,,,,REVERSAL_GREEN · sifrediana_assistita · 2026-09-14 · SL=345.25,sifrediana_assistita
CE,2026-09-14 17:12:52.548408,45.08,41.11,41.11,51.035,59.9564,67.62,90.16,100.0,0.0,-0.67,-0.67,4,Aperto,,,,REVERSAL_YELLOW · classico · 2026-09-14 · SL=41.11,classico
FISV,2026-09-14 17:12:35.958029,52.595,48.37,48.37,58.9325,69.9514,78.8925,105.19,100.0,0.0,-3.05,-3.05,5,Aperto,,,,REVERSAL_GREEN · classico · 2026-09-14 · SL=48.37,classico
IBM,2026-09-14 08:48:14.372853,243.29,226.813,226.813,268.0055,323.5757,364.935,486.58,100.0,0.0,2.38,0.0,5,Aperto,,,,REVERSAL_GREEN · classico · 2026-09-14 · SL=226.81,classico
CHRW,2026-09-14 08:48:09.908124,152.78,140.6334,140.6334,170.9999,203.1974,229.17,305.56,100.0,0.0,2.97,0.0,4,Aperto,,,,REVERSAL_YELLOW · classico · 2026-09-14 · SL=140.63,classico
Q,2026-09-11 15:29:48.647314,126.94,113.33,113.33,147.355,168.8302,190.41,253.88,100.0,0.0,-7.65,-7.65,4,Aperto,,,,REVERSAL_YELLOW · n/d · 2026-09-11 · SL=113.33,
AMT,2026-09-11 15:29:24.657908,177.99,162.5,162.5,201.225,236.7267,266.985,355.98,100.0,0.0,-0.59,-0.59,4,Aperto,,,,REVERSAL_YELLOW · n/d · 2026-09-11 · SL=162.50,
TMUS,2026-09-11 15:29:23.206898,182.82,170.1977,170.1977,201.7535,243.1506,274.23,365.64,100.0,0.0,0.04,0.0,5,Aperto,,,,REVERSAL_GREEN · n/d · 2026-09-11 · SL=170.20,
NBIS,2026-09-10 17:52:44.871402,229.31,180.631,180.631,302.3285,304.9823,343.965,458.62,100.0,0.0,-7.47,-7.47,5,Aperto,,,,REVERSAL_GREEN · n/d · 2026-09-10 · SL=180.63,
VOW3.DE,2026-09-10 15:34:50.330055,81.3,71.58,71.58,95.88,108.129,121.95,162.6,100.0,0.0,0.2,0.0,6,Aperto,,,,REVERSAL_GREEN · n/d · 2026-09-10 · SL=71.58,
LYB,2026-09-10 15:34:50.330055,64.42,58.3477,58.3477,73.5285,85.6786,96.63,128.84,100.0,0.0,-2.59,-2.63,4,Aperto,,,,REVERSAL_YELLOW · n/d · 2026-09-10 · SL=58.35,
ELV,2026-09-10 15:34:50.330055,411.42,368.8645,368.8645,475.2533,547.1886,617.13,822.84,100.0,0.0,3.12,0.0,5,Aperto,,,,REVERSAL_GREEN · n/d · 2026-09-10 · SL=368.86,
ORCL,2026-09-10 15:34:50.330055,158.6789,137.43,137.43,190.5522,211.0429,238.0183,317.3578,100.0,0.0,-8.75,-9.37,4,Aperto,,,,REVERSAL_YELLOW · n/d · 2026-09-10 · SL=137.43,
HLMA.L,2026-09-10 15:34:50.330055,3588.0,3418.0,3418.0,3843.0,4772.04,5382.0,7176.0,100.0,0.0,-4.35,-4.35,4,Aperto,,,,REVERSAL_YELLOW · n/d · 2026-09-10 · SL=3418.00,
