Data,Ticker,Livello,Valore Livello,Nota,Prezzo al momento
2026-07-06 15:00 UTC,TMO,3,505.0,,513.205
2026-07-06 15:00 UTC,ODD,1,17.01,,17.24
2026-07-06 15:00 UTC,DLO,1,14.67,,14.655
2026-07-06 15:00 UTC,MANH,3,150.0,,152.25
2026-07-06 15:00 UTC,GBPJPY,1,215.4,,216.833
2026-07-06 15:00 UTC,GBPJPY,2,215.271,,216.833
2026-07-06 15:00 UTC,GBPJPY,3,215.05,,216.833
2026-07-06 15:00 UTC,SPCX,3,160.36,,161.4394
2026-07-06 15:00 UTC,TEVA,1,34.54,,35.1199
2026-07-06 15:00 UTC,TEVA,2,35.2,,35.1199
2026-07-06 15:00 UTC,T,2,20.6,,20.325
2026-07-06 15:00 UTC,SGI,2,78.43,,77.46
2026-07-06 15:00 UTC,FAST,1,46.79,,47.56
2026-07-06 15:00 UTC,WFC,1,86.39,,87.305
2026-07-06 19:40 UTC,ODD,1,17.01,,17.305
2026-07-06 19:40 UTC,GBPJPY,1,215.4,,217.027
2026-07-06 19:40 UTC,GBPJPY,2,215.271,,217.027
2026-07-06 19:40 UTC,GBPJPY,3,215.05,,217.027
2026-07-06 19:40 UTC,TEVA,2,35.2,,35.325
2026-07-06 19:40 UTC,T,2,20.6,,20.56
2026-07-06 19:40 UTC,SGI,2,78.43,,78.0894
2026-07-06 19:40 UTC,WFC,1,86.39,,87.6295
2026-07-06 21:15 UTC,SPCX,3,160.36,,160.42
2026-07-06 23:48 UTC,ODD,1,17.01,,17.35
2026-07-06 23:48 UTC,GBPJPY,1,215.4,,217.102
2026-07-06 23:48 UTC,GBPJPY,2,215.271,,217.102
2026-07-06 23:48 UTC,GBPJPY,3,215.05,,217.102
2026-07-06 23:48 UTC,TEVA,2,35.2,,35.29
2026-07-06 23:48 UTC,T,2,20.6,,20.58
2026-07-06 23:48 UTC,SGI,2,78.43,,78.2
2026-07-06 23:48 UTC,WFC,1,86.39,,87.45
2026-07-07 01:30 UTC,SPCX,3,160.36,,160.42
2026-07-07 05:49 UTC,ODD,1,17.01,,17.35
2026-07-07 05:49 UTC,GBPJPY,1,215.4,,216.538
2026-07-07 05:49 UTC,GBPJPY,2,215.271,,216.538
2026-07-07 05:49 UTC,GBPJPY,3,215.05,,216.538
2026-07-07 05:49 UTC,SPCX,3,160.36,,160.42
2026-07-07 05:49 UTC,TEVA,2,35.2,,35.29
2026-07-07 05:49 UTC,T,2,20.6,,20.58
2026-07-07 05:49 UTC,SGI,2,78.43,,78.2
2026-07-07 05:49 UTC,WFC,1,86.39,,87.45
2026-07-07 12:14 UTC,ODD,1,17.01,,17.35
2026-07-07 12:14 UTC,GBPJPY,1,215.4,,216.706
2026-07-07 12:14 UTC,GBPJPY,2,215.271,,216.706
2026-07-07 12:14 UTC,GBPJPY,3,215.05,,216.706
2026-07-07 12:14 UTC,SPCX,3,160.36,,160.42
2026-07-07 12:14 UTC,TEVA,2,35.2,,35.29
2026-07-07 12:14 UTC,T,2,20.6,,20.58
2026-07-07 12:14 UTC,SGI,2,78.43,,78.2
2026-07-07 12:14 UTC,WFC,1,86.39,,87.45
2026-07-07 15:20 UTC,MDT,2,85.5,,84.52
2026-07-07 15:20 UTC,TEVA,1,34.54,,34.705
2026-07-07 15:20 UTC,TEVA,3,34.25,,34.705
2026-07-07 15:20 UTC,FAST,1,46.79,,47.415
2026-07-07 17:31 UTC,TMO,3,505.0,,514.3
2026-07-07 17:31 UTC,GBPJPY,1,215.4,,216.522
2026-07-07 17:31 UTC,GBPJPY,2,215.271,,216.522
2026-07-07 17:31 UTC,GBPJPY,3,215.05,,216.522
2026-07-07 17:31 UTC,TEVA,2,35.2,,34.7
2026-07-07 17:31 UTC,T,2,20.6,,20.995
2026-07-07 17:31 UTC,WFC,1,86.39,,87.23
2026-07-07 19:24 UTC,MDT,2,85.5,,84.03
2026-07-07 19:24 UTC,TEVA,1,34.54,,34.765
2026-07-07 19:24 UTC,TEVA,3,34.25,,34.765
2026-07-07 19:24 UTC,SGI,3,73.43,,74.6
2026-07-07 19:24 UTC,FAST,1,46.79,,47.305
2026-07-07 19:24 UTC,WFC,2,85.51,,87.2
2026-07-07 21:06 UTC,FTK,1,22.74,,22.4
2026-07-07 21:06 UTC,CDW,2,142.0,,139.23
2026-07-07 21:06 UTC,DLO,1,14.67,,14.88
2026-07-07 22:30 UTC,GBPJPY,1,215.4,,216.44
2026-07-07 22:30 UTC,GBPJPY,2,215.271,,216.44
2026-07-07 22:30 UTC,GBPJPY,3,215.05,,216.44
2026-07-07 22:30 UTC,TEVA,2,35.2,,34.65
2026-07-07 22:30 UTC,WFC,1,86.39,,87.18
2026-07-07 23:32 UTC,MDT,2,85.5,,83.83
2026-07-07 23:32 UTC,TEVA,1,34.54,,34.65
2026-07-07 23:32 UTC,TEVA,3,34.25,,34.65
2026-07-07 23:32 UTC,SGI,3,73.43,,74.82
2026-07-07 23:32 UTC,FAST,1,46.79,,47.11
2026-07-07 23:32 UTC,WFC,2,85.51,,87.18
2026-07-08 01:08 UTC,FTK,1,22.74,,22.4
2026-07-08 01:08 UTC,CDW,2,142.0,,139.23
2026-07-08 01:08 UTC,DLO,1,14.67,,14.88
2026-07-08 04:32 UTC,MDT,2,85.5,,83.83
2026-07-08 04:32 UTC,GBPJPY,1,215.4,,216.82
2026-07-08 04:32 UTC,GBPJPY,2,215.271,,216.82
2026-07-08 04:32 UTC,GBPJPY,3,215.05,,216.82
2026-07-08 04:32 UTC,TEVA,1,34.54,,34.65
2026-07-08 04:32 UTC,TEVA,2,35.2,,34.65
2026-07-08 04:32 UTC,TEVA,3,34.25,,34.65
2026-07-08 04:32 UTC,SGI,3,73.43,,74.82
2026-07-08 04:32 UTC,FAST,1,46.79,,47.11
2026-07-08 04:32 UTC,WFC,1,86.39,,87.18
2026-07-08 04:32 UTC,WFC,2,85.51,,87.18
2026-07-08 07:12 UTC,DLO,1,14.67,,14.88
2026-07-08 09:40 UTC,FTK,1,22.74,,22.4
2026-07-08 09:40 UTC,CDW,2,142.0,,139.23
2026-07-08 09:40 UTC,MDT,2,85.5,,83.83
2026-07-08 09:40 UTC,GBPJPY,1,215.4,,216.726
2026-07-08 09:40 UTC,GBPJPY,2,215.271,,216.726
2026-07-08 09:40 UTC,GBPJPY,3,215.05,,216.726
2026-07-08 09:40 UTC,TEVA,1,34.54,,34.65
2026-07-08 09:40 UTC,TEVA,2,35.2,,34.65
2026-07-08 09:40 UTC,TEVA,3,34.25,,34.65
2026-07-08 09:40 UTC,SGI,3,73.43,,74.82
2026-07-08 09:40 UTC,FAST,1,46.79,,47.11
2026-07-08 09:40 UTC,WFC,1,86.39,,87.18
2026-07-08 09:40 UTC,WFC,2,85.51,,87.18
2026-07-08 09:40 UTC,GLBE,1,36.85,,36.92
2026-07-08 09:40 UTC,DCI,1,89.36,,89.54
2026-07-08 09:40 UTC,VIV,1,13.5,,13.28
2026-07-08 09:40 UTC,VIV,2,13.3,,13.28
2026-07-08 09:40 UTC,VIV,3,13.26,,13.28
2026-07-08 09:40 UTC,INTC,1,111.56,,110.39
2026-07-08 09:40 UTC,INTC,2,112.5,,110.39
2026-07-08 11:31 UTC,DLO,1,14.67,,14.88
2026-07-08 15:37 UTC,FTK,1,22.74,,22.585
2026-07-08 15:37 UTC,TMO,3,505.0,,511.36
2026-07-08 15:37 UTC,GBPJPY,1,215.4,,217.343
2026-07-08 15:37 UTC,GBPJPY,2,215.271,,217.343
2026-07-08 15:37 UTC,GBPJPY,3,215.05,,217.343
2026-07-08 15:37 UTC,SGI,3,73.43,,72.09
2026-07-08 15:37 UTC,FAST,1,46.79,,46.43
2026-07-08 15:38 UTC,WFC,1,86.39,,85.46
2026-07-08 15:38 UTC,WFC,2,85.51,,85.46
2026-07-08 15:38 UTC,VIV,1,13.5,,13.35
2026-07-08 15:38 UTC,VIV,2,13.3,,13.35
2026-07-08 15:38 UTC,VIV,3,13.26,,13.35
2026-07-08 15:38 UTC,INTC,3,107.5,,105.3999
2026-07-08 17:08 UTC,VRTX,2,500.0,,509.035
2026-07-08 17:08 UTC,DCI,1,89.36,,87.685
2026-07-08 18:45 UTC,ODD,2,16.0,,16.305
2026-07-08 18:45 UTC,DLO,1,14.67,,14.52
2026-07-08 18:45 UTC,GLBE,1,36.85,,36.14
2026-07-08 20:14 UTC,FTK,1,22.74,,23.06
2026-07-08 20:14 UTC,TMO,3,505.0,,509.87
2026-07-08 20:14 UTC,VRTX,1,496.73,,498.43
2026-07-08 20:14 UTC,GBPJPY,1,215.4,,217.73
2026-07-08 20:14 UTC,GBPJPY,2,215.271,,217.73
2026-07-08 20:14 UTC,GBPJPY,3,215.05,,217.73
2026-07-08 20:14 UTC,SGI,3,73.43,,73.21
2026-07-08 20:14 UTC,FAST,1,46.79,,46.51
2026-07-08 20:14 UTC,WFC,1,86.39,,85.57
2026-07-08 20:14 UTC,WFC,2,85.51,,85.57
2026-07-08 20:14 UTC,VIV,1,13.5,,13.283
2026-07-08 20:14 UTC,VIV,2,13.3,,13.283
2026-07-08 20:14 UTC,VIV,3,13.26,,13.283
2026-07-08 20:14 UTC,INTC,1,111.56,,110.24
2026-07-08 21:34 UTC,VRTX,2,500.0,,498.43
2026-07-08 21:34 UTC,DCI,1,89.36,nan,87.68
